,2019,2018,2017,2016,2015
reportedCurrency,USD,USD,USD,USD,USD
fillingDate,2020-02-20 00:00:00,2019-02-19 00:00:00,2018-02-15 00:00:00,2017-02-22 00:00:00,2016-02-26 00:00:00
acceptedDate,2020-02-19 20:41:08,2019-02-15 18:57:42,2018-02-14 18:12:29,2017-02-21 21:06:50,2016-02-25 18:34:24
period,FY,FY,FY,FY,FY
cashAndCashEquivalents,528737000,251058000,295798000,290602000,249936000
shortTermInvestments,19477728000,11636581000,8071140000,5073858000,2501881000
cashAndShortTermInvestments,20006465000,11887639000,8366938000,5364460000,2751817000
netReceivables,11138312000,9317462000,2566795000,1951114000,1760149000
inventory,0.0,0.0,0.0,0.0,0.0
otherCurrentAssets,0.0,0.0,0.0,0.0,0.0
totalCurrentAssets,0.0,0.0,0.0,0.0,0.0
propertyPlantEquipmentNet,74271000,0.0,0.0,0.0,0.0
goodwill,29737000,24645000,0.0,0.0,0.0
intangibleAssets,4514266000,3498632000,3080982000,2253726000,1798738000
goodwillAndIntangibleAssets,4544003000,3523277000,3080982000,2253726000,1798738000
longTermInvestments,114763000,74323000,0.0,0.0,0.0
taxAssets,0.0,0.0,0.0,0.0,0.0
otherNonCurrentAssets,0.0,0.0,0.0,0.0,0.0
totalNonCurrentAssets,11836000,0.0,0.0,0.0,0.0
otherAssets,44851618000,31691013000,22213562000,18365035000,15192722000
totalAssets,44863454000,31691013000,22213562000,18365035000,15192722000
accountPayables,1218366000,2268710000,1296305000,1449407000,762590000
shortTermDebt,0.0,0.0,0.0,0.0,0.0
taxPayables,0.0,0.0,0.0,0.0,0.0
deferredRevenue,0.0,0.0,0.0,0.0,0.0
otherCurrentLiabilities,0.0,0.0,0.0,0.0,0.0
totalCurrentLiabilities,29985596000,18591077000,10438966000,7148824000,5147221000
longTermDebt,7720148000,7102266000,7084391000,7990605000,7249568000
deferredRevenueNonCurrent,0.0,0.0,0.0,0.0,0.0
deferredTaxLiabilitiesNonCurrent,0.0,0.0,19218000,0.0,0.0
otherNonCurrentLiabilities,0.0,0.0,0.0,0.0,0.0
totalNonCurrentLiabilities,7720148000,7102266000,7084391000,7990605000,7249568000
otherLiabilities,0.0,0.0,0.0,0.0,0.0
totalLiabilities,37627194000,25602718000,17417400000,14896858000,12206142000
commonStock,4156000.0,3692000.0,3074000.0,2507000.0,2304000.0
retainedEarnings,549733000,830713000,559476000,210500000,148800000
accumulatedOtherComprehensiveIncomeLoss,682000000,417000000,364000000,126000000,4000000.0
othertotalStockholdersEquity,0.0,0.0,0.0,0.0,0.0
totalStockholdersEquity,7157710000,5997670000,4690205000,3260100000,2795933000
totalLiabilitiesAndStockholdersEquity,44784904000,31600388000,22107605000,18156958000,15002075000
totalInvestments,19592491000,11710904000,0.0,0.0,0.0
totalDebt,27197876000,18738847000,15155531000,13064463000,9751449000
netDebt,26669139000,18487789000,14859733000,12773861000,9501513000
link,https://www.sec.gov/Archives/edgar/data/1556593/000155659320000004/0001556593-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659319000006/0001556593-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659318000008/0001556593-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659317000005/0001556593-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1556593/000155659316000025/0001556593-16-000025-index.html
finalLink,https://www.sec.gov/Archives/edgar/data/1556593/000155659320000004/nrz-20191231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659319000006/nrz-20181231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659318000008/nrz-20171231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659317000005/nrz-20161231x10xk.htm,https://www.sec.gov/Archives/edgar/data/1556593/000155659316000025/nrz-20151231x10xk.htm
