,2020,2019,2018,2017,2016
reportedCurrency,USD,USD,USD,USD,USD
fillingDate,2021-02-26,2020-03-02,2019-03-01,2018-02-28,2017-02-24
acceptedDate,2021-02-26 16:53:35,2020-03-02 16:18:18,2019-02-28 18:18:41,2018-02-28 16:27:11,2017-02-24 17:20:35
period,FY,FY,FY,FY,FY
revenue,-352000000,304471000,213029000,229314000,216644000
costOfRevenue,0.0,0.0,0.0,0.0,0.0
grossProfit,0.0,0.0,0.0,0.0,0.0
grossProfitRatio,0.0,0.0,0.0,0.0,0.0
researchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0
generalAndAdministrativeExpenses,115000000,98635000,65533000,66003000,65699000
sellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0
otherExpenses,0.0,0.0,0.0,0.0,0.0
operatingExpenses,533000000,565000000,287000000,173000000,149000000
costAndExpenses,0.0,0.0,0.0,0.0,0.0
interestExpense,448000000,479808000,239039000,108816000,88528000
depreciationAndAmortization,8550000.0,8699000.0,1308000.0,1213000.0,1140000.0
ebitda,0.0,0.0,0.0,0.0,0.0
ebitdaratio,0.0,0.0,0.0,0.0,0.0
operatingIncome,0.0,0.0,0.0,0.0,0.0
operatingIncomeRatio,1.6676136363636365,0.5800979403621362,0.6134751606588774,0.6635355887560288,0.6229574786285335
totalOtherIncomeExpensesNet,0.0,0.0,0.0,0.0,0.0
incomeBeforeTax,-587000000,176623000,130688000,152158000,134960000
incomeBeforeTaxRatio,1.6676136363636365,0.5800979403621362,0.6134751606588774,0.6635355887560288,0.6229574786285335
incomeTaxExpense,-5000000.0,7440000.0,11088000,11752000,3708000.0
netIncome,-582000000,169183000,119600000,140406000,131252000
netIncomeRatio,1.6534090909090908,0.555662115603785,0.5614259091485196,0.6122870823412438,0.6058418419157696
eps,-4.254976933930882,1.46,1.413688,1.827677,1.704952
epsdiluted,-4.254976933930882,1.46,1.34,1.6,1.54
weightedAverageShsOut,136781000,136781000,84884344,76599972,76835000
weightedAverageShsOutDil,136781000,136781000,110028000,101975000,97909000
link,https://www.sec.gov/Archives/edgar/data/930236/000093023621000007/0000930236-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000093023620000007/0000930236-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000093023619000006/0000930236-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000093023618000006/0000930236-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/930236/000093023617000010/0000930236-17-000010-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/930236/000093023621000007/rwt-20201231.htm,https://www.sec.gov/Archives/edgar/data/930236/000093023620000007/rwt10-k2019.htm,https://www.sec.gov/Archives/edgar/data/930236/000093023619000006/rwt10-k2018.htm,https://www.sec.gov/Archives/edgar/data/930236/000093023618000006/rwt10-k2017.htm,https://www.sec.gov/Archives/edgar/data/930236/000093023617000010/rwt10-k2016.htm
