,Ticker,assetToDebt_2022,assetToLiabilities_2022,assetToDebt_2021,assetToLiabilities_2021,assetToDebt_2020,assetToLiabilities_2020,earningYield_2022,earningYield_2021,earningYield_2020,balanceSheetClassifier
9,DD,0.0,0.0,4.239195,2.449858,3.2508368,2.2273042,0.0,0.23687541,-0.07603337,2
8,EOG,0.0,0.0,6.472998,2.3814151,5.8585677,2.3095698,0.0,0.062005326,-0.008030578,2
16,EQR,0.0,0.0,2.44624,2.1207345,2.4227822,2.130214,0.0,0.05729494,0.039156146,2
4,XOM,0.0,0.0,7.104708,2.0762253,5.044724,1.9733721,0.0,0.052406415,-0.051045213,2
7,FAST,0.0,0.0,6.750942,3.420592,6.0986004,3.2194073,0.0,0.034878682,0.032495666,2
3,EW,0.0,0.0,12.317253,3.188435,10.414592,2.7178533,0.0,0.028371299,0.015539466,2
2,EPAM,0.0,0.0,14.731796,3.4292984,31.718266,3.6858735,0.0,0.024705483,0.017056515,2
6,EA,7.04441,1.7995142,6.807377,2.4390602,10.433803,3.0435498,0.0225851,0.023559997,0.0842473,2
10,FIS,0.0,0.0,3.972362,2.3312905,4.157386,2.4281619,0.0,0.008843803,0.003381454,2
1,EXPD,0.0,0.0,16.272354,1.8506916,11.245154,2.1761937,0.0,0.09323828,0.046117857,1
14,DOV,0.0,0.0,3.329783,1.6741972,2.7803893,1.5871655,0.0,0.06456239,0.039205953,1
13,EMR,0.0,0.0,3.4918056,1.6708356,3.056639,1.5851749,0.0,0.04965178,0.042208772,1
11,ETN,0.0,0.0,3.8163974,1.9359922,3.7958016,1.8885527,0.0,0.039021164,0.02569358,1
5,FFIV,0.0,0.0,6.9864864,1.8950144,10.770378,1.9127496,0.0,0.03743059,0.034619868,1
17,ESS,0.0,0.0,2.0443063,1.9151981,2.0450604,1.9156235,0.0,0.033643175,0.039168846,1
15,FDS,0.0,0.0,2.568945,1.8409432,2.3791685,1.7551517,0.0,0.025788452,0.023805868,1
12,DIS,0.0,0.0,3.5327318,1.8409827,3.43776,1.7791166,0.0,0.01130931,-0.016244281,1
18,EQIX,0.0,0.0,1.8621744,1.6387161,2.4937303,1.6495022,0.0,0.010156434,0.0077068475,1
0,EQT,0.0,0.0,22.627907,1.8688885,3.6589394,2.0465488,0.0,-0.072682284,-0.083333336,1
