,Ticker,assetToDebt,peRatio,returnOnCapitalEmployed,assetToDebt_Rank,peRatio_Rank,returnOnCapitalEmployed_Rank,total_Rank
1,PLD,2.819427,38.8096,0.056839492,19.0,10.0,11.0,66.88000000000001
17,DRE,2.4254463,25.428207,0.0952931,16.0,6.0,16.0,49.152000000000015
4,PSA,2.1842527,32.211384,0.09944744,11.0,8.0,17.0,47.872000000000014
19,MAA,2.212308,43.80204,0.04344243,13.0,13.0,8.0,43.26400000000001
5,O,2.3954496,66.48288,0.023204332,15.0,14.0,5.0,33.6
16,INVH,2.1310215,91.90305,0.030031597,10.0,16.0,6.0,30.720000000000006
9,WELL,2.1938999,106.27624,0.022694496,12.0,17.0,4.0,26.11200000000001
3,EQIX,1.6387161,127.1113,0.04211503,6.0,18.0,7.0,24.192000000000007
13,EXR,1.5660425,31.73188,0.10026629,5.0,7.0,18.0,20.160000000000004
2,CCI,1.2682737,71.216934,0.054060627,4.0,15.0,10.0,19.200000000000003
12,EQR,2.1207345,24.963228,0.08197152,9.0,5.0,13.0,18.720000000000002
8,VICI,3.2526295,14.093146,0.08369324,20.0,2.0,14.0,17.92
14,ARE,2.7015054,41.84644,0.018186724,18.0,11.0,2.0,12.672000000000002
0,AMT,1.1491262,42.63623,0.05149571,3.0,12.0,9.0,10.368000000000004
15,WY,2.5638344,11.360113,0.21816984,17.0,1.0,19.0,10.336000000000004
6,SBAC,0.6497602,148.04169,0.08518929,1.0,19.0,15.0,9.120000000000001
18,VTR,1.7947822,392.20096,0.018185798,7.0,20.0,1.0,4.48
10,DLR,2.0326397,24.659117,0.020358715,8.0,4.0,3.0,3.072000000000001
7,SPG,1.1287574,21.385649,0.07842776,2.0,3.0,12.0,2.3040000000000007
11,AVB,2.2189972,34.02788,,14.0,9.0,,
